customer_id,customer_name,email,country,signup_date,customer_segment,lifetime_value
1,Brenda Levy,zcoffey@example.net,Haiti,2019-09-11,Premium,11014.11
2,James Baker,gibsonemily@example.net,Estonia,2023-02-11,Standard,3116.46
3,Samantha Bentley,leonardthomas@example.net,Turks and Caicos Islands,2024-11-30,Standard,32998.29
4,Erin Bishop,reidsteven@example.net,Gabon,2018-03-06,Premium,26657.40
5,Audrey Williams,torrestravis@example.org,Dominica,2022-08-12,Premium,934.63
6,Brandy Chavez,umatthews@example.org,Turks and Caicos Islands,2021-01-30,Basic,48876.22
7,Brett Burns,rcrosby@example.org,Portugal,2018-03-12,Basic,40676.55
8,Jeremy Sampson,cory58@example.net,Guinea-Bissau,2022-10-30,Premium,5440.12
9,Donald Donaldson,ndavis@example.net,Northern Mariana Islands,2019-01-30,Basic,7529.98
10,Alison Buchanan,vanessabuchanan@example.org,Bangladesh,2020-02-26,Basic,26370.15
11,Kristen Willis,markhernandez@example.net,Afghanistan,2021-12-22,Standard,39767.32
12,William Huerta,lauren10@example.org,American Samoa,2018-11-20,Standard,47968.96
13,Richard Chapman,thompsonbrian@example.net,Italy,2023-02-24,Basic,12236.07
14,Nichole Alvarez,william17@example.net,Cyprus,2020-07-14,Standard,34233.68
15,Amanda Logan,stephen00@example.com,Tanzania,2018-11-27,Basic,49584.57
16,Michael Henry,fjones@example.com,New Caledonia,2018-05-10,Premium,20323.39
17,Cameron Weber,oscar98@example.com,Korea,2022-03-25,Basic,23852.65
18,Jessica Mcguire,farrelldebra@example.net,Saint Helena,2018-02-08,Basic,8652.04
19,Jessica Beasley,dmorgan@example.com,Israel,2023-08-10,Standard,32280.87
20,Emily Edwards,nicholas27@example.org,Bermuda,2021-09-18,Basic,48868.73
21,Anna Davis,lisa80@example.net,Zimbabwe,2019-01-26,Basic,45965.70
22,Erin Martinez,morgan60@example.com,Netherlands Antilles,2020-07-30,Premium,45073.52
23,Brian Romero,dianewalker@example.org,Guernsey,2024-05-10,Standard,13627.64
24,Holly Farmer,lindsaybruce@example.net,Nicaragua,2018-11-01,Basic,46286.68
25,Kristin Lynch,anthony44@example.com,Guernsey,2024-02-03,Basic,32939.65
26,Sergio Knight,vjones@example.net,Antarctica (the territory South of 60 deg S),2020-01-05,Standard,881.34
27,Joseph Bennett,xpeterson@example.com,Saint Helena,2020-04-28,Basic,7295.16
28,Todd Carlson,moorekaren@example.org,Peru,2022-06-20,Premium,15033.92
29,Jeremy Coleman,nperry@example.net,Brazil,2024-04-28,Premium,28378.13
